3.1344,2.4585
2.4353,2.2155
3.0797,1.6731
2.8916,2.0857
3.8946,2.6924
2.6625,2.7587
3.1814,1.9842
3.1787,1.9488
2.969,2.3724
3.3523,2.3543
3.1679,1.6981
3.1793,2.4076
3.1222,2.2587
3.1817,1.9241
3.0735,1.8032
3.2221,1.7132
2.7328,1.7976
2.2639,2.3596
3.0813,1.8113
3.3426,1.5721
2.9744,1.9396
3.0798,2.0782
2.7838,1.9925
2.9588,2.1569
3.2733,2.2773
2.7841,2.0193
2.6965,1.7216
2.9983,2.3832
2.8076,2.0928
2.9436,2.2793
2.7277,2.0081
3.1381,2.2752
3.3861,2.0215
2.6271,1.8144
2.7346,2.5876
2.8461,2.187
2.9519,2.2222
2.8088,1.6494
2.6444,2.122
2.9557,1.951
3.3548,2.0729
3.0495,2.3969
2.7989,2.1742
3.2088,1.9391
3.0539,1.7085
2.713,2.0262
3.1806,2.6464
2.8333,2.0468
2.9794,1.5167
2.8903,1.5513
3.2101,1.778
3.025,1.8639
3.0759,1.8499
3.1225,2.1848
3.428,1.9515
2.4654,1.7901
3.3386,1.732
3.2402,2.031
3.3592,1.5098
2.9506,1.698
3.727,2.2063
3.3447,1.7355
2.8828,1.9319
3.2746,1.9305
3.1754,1.487
2.9115,1.7941
2.6057,2.127
3.0705,2.0084
2.6666,2.2819
3.0875,1.9252
3.0057,1.9345
2.5624,1.9286
2.7922,1.7552
2.7109,1.8666
2.4993,2.2411
3.13,1.995
2.9913,1.8005
3.2547,1.9667
2.8214,2.3378
2.9438,1.8527
2.9266,1.788
2.72,2.6315
3.4139,2.0769
2.6857,1.7836
2.9559,2.1979
2.667,1.4175
2.6377,2.0834
3.0978,2.1129
2.9674,2.0459
2.881,2.2155
2.6596,2.1138
2.7878,1.9163
3.1382,2.2598
2.7206,2.3152
3.165,1.983
2.9512,1.9456
2.9242,2.0058
3.0128,2.2065
3.3817,2.1167
2.9476,2.1563
3.0458,1.7426
3.2373,2.0768
3.0338,2.1288
3.0654,1.7646
2.9594,1.9635
2.867,2.4205
2.7811,1.879
2.822,1.7064
2.9519,1.9315
3.3825,1.9377
2.7339,2.4009
3.3087,1.9426
2.6235,1.8888
2.961,2.069
2.9347,2.1109
3.098,1.6873
2.763,1.8147
